secs,km,power,hr,cad,alt
0,0,189,113,88,2.4
1,0,168,114,90,2.4
2,0,184,116,92,2.4
3,0,169,117,94,2.4
4,0,172,119,94,2.4
5,0,172,120,94,2.4
6,0,164,121,96,2.2
7,0,176,122,96,2.2
8,0,168,123,96,2.2
9,0,168,123,97,2.2
10,0,173,124,98,2.2
11,0,172,126,98,2.2
12,0,170,127,98,2.2
13,0,186,128,98,2.2
14,0,186,129,97,2.2
15,0,121,130,76,2.2
16,0,231,130,81,2.2
17,0,258,132,84,2
18,0,254,133,86,2
19,0,237,134,87,2
20,0,222,135,88,2
21,0,210,136,88,2
22,0,224,137,89,2
23,0,219,137,89,2
24,0,219,138,90,2.2
25,0,189,139,90,2.2
26,0,240,139,90,2.2
27,0,203,140,91,2.2
28,0,190,140,90,2.2
29,0,235,140,91,2.2
30,0,225,141,91,2.2
31,0,196,141,91,2.2
32,0,214,142,91,2.2
33,0,191,142,91,2.2
34,0,224,142,92,2.2
35,0,203,142,92,2.2
36,0,183,142,92,2.4
37,0,207,143,91,2.4
38,0,213,144,91,2.4
39,0,198,145,91,2.4
40,0,198,145,92,2.4
41,0,186,147,91,2.4
42,0,186,147,91,2.4
43,0,201,148,90,2.4
44,0,226,148,91,2.2
45,0,176,149,91,2.2
46,0,183,149,90,2.2
47,0,184,149,90,2.2
48,0,184,150,90,2.2
49,0,181,150,90,2.2
50,0,181,150,90,2.2
51,0,178,151,89,2.2
52,0,176,151,89,2.2
53,0,190,152,89,2.2
54,0,187,152,89,2.2
55,0,188,153,89,2.2
56,0,171,153,89,2.2
57,0,179,154,89,2.2
58,0,188,154,90,2.2
59,0,190,154,90,2.2
60,0,159,155,90,2.2
61,0,178,155,90,2.2
62,0,186,155,90,2.2
63,0,169,156,90,2.2
64,0,182,156,90,2.2
65,0,182,156,90,2.2
66,0,175,156,90,2.2
67,0,191,156,90,2.2
68,0,175,156,90,2.2
69,0,180,156,90,2.2
70,0,184,156,91,2.2
71,0,179,156,91,2.2
72,0,161,155,90,2.2
73,0,168,155,90,2.2
74,0,176,154,90,2.2
75,0,185,154,90,2.2
76,0,174,153,90,2.2
77,0,158,153,90,2.2
78,0,204,153,91,2.2
79,0,152,154,91,2.2
80,0,157,154,91,2.2
81,0,172,154,92,2.2
82,0,193,154,93,2.2
83,0,209,153,94,2.2
84,0,172,153,94,2.2
85,0,144,153,94,2.2
86,0,135,153,93,2.2
87,0,158,153,93,2.2
88,0,142,153,93,2.2
89,0,173,154,93,2.2
90,0,160,154,93,2.2
91,0,160,154,92,2.2
92,0,171,153,91,2.2
93,0,164,153,91,2.2
94,0,187,153,91,2.2
95,0,171,153,92,2.2
96,0,168,152,92,2.2
97,0,179,152,92,2.2
98,0,171,152,92,2.2
99,0,167,152,93,2.2
100,0,169,152,92,2.2
101,0,189,151,93,2.2
102,0,168,151,93,2.2
103,0,158,152,92,2.2
104,0,171,151,92,2.2
105,0,166,151,91,2.2
106,0,154,151,91,2.2
107,0,152,151,90,2.2
108,0,168,151,90,2.2
109,0,168,151,90,2.2
110,0,181,151,90,2.2
111,0,166,150,91,2.2
112,0,172,150,91,2.2
113,0,156,151,91,2.2
114,0,191,151,92,2.2
115,0,116,151,93,2.2
116,0,0,151,93,2.2
117,0,0,150,93,2.2
118,0,0,147,93,2.2
119,0,0,142,0,2.2
120,0,0,140,0,2.2
121,0,0,140,0,2.2
122,0,69,140,27,2.2
123,0,200,140,87,2.2
124,0,223,141,90,2.2
125,0,212,141,92,2.2
126,0,205,142,92,2.2
127,0,179,143,93,2.2
128,0,244,144,94,2.2
129,0,190,144,94,2.2
130,0,176,144,94,2.2
131,0,174,145,93,2.2
132,0,204,146,94,2.2
133,0,186,147,94,2.2
134,0,207,148,95,2.2
135,0,196,149,95,2.2
136,0,196,149,95,2.2
137,0,190,150,96,2.2
138,0,192,150,96,2.2
139,0,181,149,95,2.2
140,0,182,149,95,2.2
141,0,182,149,95,2.2
142,0,178,149,96,2.2
143,0,162,148,95,2.2
144,0,213,147,95,2.2
145,0,184,147,95,2.2
146,0,197,147,95,2.2
147,0,193,147,95,2.2
148,0,187,148,95,2.2
149,0,187,148,95,2.2
150,0,192,150,95,2.2
151,0,183,150,95,2.2
152,0,186,151,95,2.2
153,0,178,151,95,2.2
154,0,185,151,94,2.2
155,0,197,151,94,2.2
156,0,186,150,94,2.2
157,0,193,151,95,2.2
158,0,179,150,95,2.2
159,0,156,150,94,2.2
160,0,189,150,95,2.2
161,0,189,149,95,2.2
162,0,178,149,95,2.2
163,0,166,149,94,2.2
164,0,201,149,95,2.2
165,0,171,149,94,2.2
166,0,187,149,94,2.2
167,0,185,149,94,2.2
168,0,199,148,94,2.2
169,0,172,147,94,2.2
170,0,179,147,94,2.2
171,0,179,146,94,2.4
172,0,172,145,94,2.4
173,0,159,145,94,2.4
174,0,159,144,94,2.4
175,0,157,143,94,2.4
176,0,157,142,94,2.4
177,0,184,142,94,2.4
178,0,164,142,95,2.4
179,0,185,141,95,2.4
180,0,168,141,95,2.4
181,0,168,141,95,2.4
182,0,176,141,95,2.4
183,0,168,141,95,2.4
184,0,0,141,98,2.4
185,0,0,140,98,2.4
186,0,0,139,98,2.4
187,0,0,139,0,2.4
188,0,42,135,24,2.4
189,0,198,134,79,2.4
190,0,248,133,81,2.4
191,0,225,133,82,2.4
192,0,111,134,85,2.4
193,0,111,135,85,2.4
194,0,112,136,37,2.4
195,0,264,138,37,2.4
196,0,264,139,82,2.4
197,0,285,140,87,2.4
198,0,248,141,89,2.4
199,0,243,143,89,2.4
200,0,270,144,90,2.4
201,0,233,144,91,2.4
202,0,229,146,91,2.4
203,0,254,146,91,2.4
204,0,225,148,92,2.4
205,0,255,148,92,2.4
206,0,233,150,92,2.4
207,0,248,151,93,2.4
208,0,233,152,92,2.4
209,0,230,152,93,2.4
210,0,239,153,93,2.4
211,0,239,153,92,2.4
212,0,245,153,93,2.4
213,0,233,154,93,2.4
214,0,224,154,93,2.4
215,0,242,155,93,2.4
216,0,237,156,93,2.4
217,0,230,157,92,2.4
218,0,244,158,92,2.4
219,0,244,159,92,2.4
220,0,244,160,93,2.4
221,0,238,161,93,2.2
222,0,225,163,93,2.2
223,0,238,163,93,2.2
224,0,243,164,93,2.2
225,0,229,164,93,2.2
226,0,247,164,93,2.2
227,0,229,165,93,2.2
228,0,214,165,93,2.2
229,0,240,165,93,2.2
230,0,222,165,93,2.2
231,0,222,165,92,2.2
232,0,235,165,91,2.2
233,0,221,165,92,2.2
234,0,227,165,91,2.2
235,0,223,165,91,2.2
236,0,223,166,91,2.2
237,0,234,166,91,2.2
238,0,222,166,92,2.2
239,0,229,166,92,2.2
240,0,231,166,92,2.2
241,0,206,167,91,2.2
242,0,224,167,91,2.2
243,0,230,167,91,2.2
244,0,201,166,91,2.2
245,0,232,166,91,2.2
246,0,201,165,91,2.2
247,0,228,164,91,2.2
248,0,226,163,91,2.2
249,0,204,162,91,2.2
250,0,224,161,91,2.2
251,0,215,160,92,2.2
252,0,270,159,93,2.2
253,0,213,159,94,2.2
254,0,228,159,93,2.2
255,0,222,160,93,2.2
256,0,254,160,93,2.2
257,0,194,160,93,2.2
258,0,240,161,93,2.2
259,0,233,162,93,2.2
260,0,219,163,93,2.2
261,0,216,164,92,2.2
262,0,232,164,92,2.2
263,0,232,165,92,2.2
264,0,222,166,92,2.2
265,0,215,167,92,2.2
266,0,215,168,92,2.2
267,0,228,168,92,2.2
268,0,224,168,92,2.2
269,0,231,169,92,2.2
270,0,217,169,92,2
271,0,237,168,92,2
272,0,228,168,92,2
273,0,244,169,92,2
274,0,238,169,92,2
275,0,240,169,93,2
276,0,227,168,92,2
277,0,218,168,92,2
278,0,253,169,93,2
279,0,235,169,94,2
280,0,224,169,94,2
281,0,224,169,93,2
282,0,234,169,93,2
283,0,217,169,93,2
284,0,217,170,92,2
285,0,206,170,92,2
286,0,217,169,91,2
287,0,215,170,91,2
288,0,222,170,91,2
289,0,218,170,91,2
290,0,213,170,91,2
291,0,214,170,91,2
292,0,214,170,91,2
293,0,213,169,91,2
294,0,233,169,91,2
295,0,197,169,91,2
296,0,217,169,91,2
297,0,200,168,92,2
298,0,206,168,91,2
299,0,210,167,91,2
300,0,205,166,91,2
301,0,229,166,91,2
302,0,227,166,91,2
303,0,212,166,91,2
304,0,228,166,91,2
305,0,200,166,91,2
306,0,200,166,91,2
307,0,219,166,91,1.8
308,0,244,166,92,1.8
309,0,208,167,92,1.8
310,0,217,167,92,1.8
311,0,224,167,92,1.8
312,0,216,167,92,1.8
313,0,235,167,92,1.8
314,0,229,167,91,1.8
315,0,229,168,91,1.8
316,0,232,168,91,1.8
317,0,249,168,92,1.8
318,0,262,169,92,1.8
319,0,220,169,92,1.8
320,0,228,169,92,1.8
321,0,228,169,91,1.8
322,0,237,169,91,1.8
323,0,220,170,91,1.8
324,0,226,170,91,1.8
325,0,218,170,91,1.8
326,0,218,170,91,1.8
327,0,207,170,91,1.8
328,0,218,170,91,1.8
329,0,221,170,92,1.8
330,0,214,170,92,1.8
331,0,222,169,92,1.8
332,0,222,169,91,1.8
333,0,219,170,92,1.8
334,0,232,170,92,1.8
335,0,206,170,92,1.8
336,0,230,170,92,1.8
337,0,211,171,92,1.8
338,0,216,171,92,1.8
339,0,210,172,92,1.8
340,0,205,172,91,1.8
341,0,221,172,91,1.8
342,0,221,173,91,1.8
343,0,200,173,91,1.8
344,0,236,172,91,1.8
345,0,236,173,92,1.8
346,0,214,172,92,1.8
347,0,214,172,93,1.8
348,0,211,171,93,1.8
349,0,219,172,92,1.8
350,0,206,172,92,1.8
351,0,206,172,92,1.8
352,0,218,172,92,1.6
353,0,217,172,92,1.6
354,0,0,172,92,1.6
355,0,0,172,92,1.6
356,0,0,172,0,1.6
357,0,216,172,92,1.6
358,0,205,172,92,1.6
359,0,205,171,92,1.6
360,0,215,171,92,1.6
361,0,211,171,92,1.6
362,0,211,171,92,1.6
363,0,235,171,92,1.6
364,0,199,170,92,1.6
365,0,241,170,92,1.6
366,0,226,170,93,1.6
367,0,218,170,93,1.6
368,0,225,169,93,1.6
369,0,225,170,93,1.6
370,0,225,170,93,1.6
371,0,211,170,93,1.6
372,0,237,170,93,1.6
373,0,216,171,92,1.6
374,0,217,171,93,1.6
375,0,213,172,92,1.6
376,0,212,172,92,1.6
377,0,212,172,92,1.6
378,0,215,172,91,1.6
379,0,220,172,92,1.6
380,0,226,171,92,1.6
381,0,222,171,93,1.6
382,0,206,170,92,1.6
383,0,230,170,93,1.6
384,0,220,170,93,1.6
385,0,207,170,93,1.8
386,0,207,170,93,1.8
387,0,207,170,93,1.8
388,0,209,170,93,1.8
389,0,219,170,92,1.8
390,0,224,170,93,1.8
391,0,225,170,93,1.8
392,0,210,169,93,1.8
393,0,217,169,93,1.8
394,0,209,170,93,1.8
395,0,207,170,93,1.8
396,0,205,170,93,1.6
397,0,192,171,93,1.6
398,0,229,171,94,1.6
399,0,190,170,92,1.6
400,0,218,171,92,1.6
401,0,263,171,92,1.6
402,0,207,171,92,1.6
403,0,233,171,93,1.6
404,0,223,171,93,1.6
405,0,208,171,93,1.6
406,0,195,171,93,1.6
407,0,203,170,93,1.6
408,0,231,169,93,1.6
409,0,228,168,94,1.6
410,0,216,167,94,1.6
411,0,215,167,94,1.6
412,0,215,167,93,1.6
413,0,213,167,93,1.6
414,0,221,167,93,1.6
415,0,194,167,93,1.6
416,0,210,167,93,1.6
417,0,203,167,92,1.6
418,0,226,167,92,1.6
419,0,238,167,93,1.6
420,0,202,167,93,1.6
421,0,202,167,94,1.6
422,0,217,168,94,1.6
423,0,194,168,93,1.6
424,0,219,168,93,1.6
425,0,213,169,93,1.6
426,0,212,169,92,1.6
427,0,217,170,93,1.6
428,0,228,170,93,1.6
429,0,221,170,93,1.6
430,0,232,170,93,1.6
431,0,213,170,93,1.6
432,0,213,169,93,1.6
433,0,224,169,93,1.6
434,0,214,169,93,1.6
435,0,213,170,93,1.6
436,0,213,170,94,1.6
437,0,209,170,94,1.6
438,0,211,171,93,1.6
439,0,213,171,93,1.6
440,0,216,172,93,1.6
441,0,191,172,93,1.6
442,0,214,173,94,1.6
443,0,193,172,93,1.6
444,0,212,173,93,1.6
445,0,237,173,95,1.6
446,0,230,174,95,1.6
447,0,209,174,95,1.6
448,0,192,174,94,1.6
449,0,208,175,93,1.6
450,0,209,175,92,1.6
451,0,224,175,92,1.6
452,0,224,176,92,1.6
453,0,210,176,92,1.6
454,0,203,176,92,1.6
455,0,203,177,92,1.6
456,0,219,176,93,1.6
457,0,225,176,93,1.6
458,0,234,176,94,1.6
459,0,216,176,94,1.6
460,0,214,176,94,1.6
461,0,201,176,94,1.6
462,0,215,176,94,1.6
463,0,215,175,94,1.8
464,0,209,176,93,1.8
465,0,207,175,93,1.8
466,0,185,176,93,1.8
467,0,216,175,93,1.8
468,0,210,175,93,1.8
469,0,210,176,93,1.8
470,0,209,176,93,1.8
471,0,216,175,93,1.8
472,0,219,175,93,1.8
473,0,219,176,93,1.8
474,0,205,175,94,1.8
475,0,204,175,94,1.8
476,0,217,176,94,1.8
477,0,212,175,94,1.8
478,0,224,175,94,1.8
479,0,215,174,94,1.8
480,0,220,174,94,1.8
481,0,219,173,94,1.8
482,0,214,172,94,1.8
483,0,245,171,94,1.8
484,0,195,170,94,1.8
485,0,198,170,93,1.8
486,0,216,169,93,1.8
487,0,213,168,93,1.8
488,0,213,168,93,1.8
489,0,212,168,93,1.8
490,0,227,167,93,1.8
491,0,202,167,93,1.8
492,0,212,167,93,1.8
493,0,218,167,93,1.8
494,0,208,167,92,1.8
495,0,210,167,92,1.8
496,0,218,167,92,1.8
497,0,220,167,92,1.8
498,0,228,167,93,1.8
499,0,212,167,93,1.8
500,0,226,168,93,2
501,0,234,168,93,2
502,0,227,168,93,2
503,0,230,168,94,2
504,0,220,168,93,2
505,0,230,169,94,1.8
506,0,225,168,94,1.8
507,0,217,169,94,1.8
508,0,221,169,94,1.8
509,0,222,169,94,1.8
510,0,217,170,94,1.8
511,0,202,170,94,1.8
512,0,210,170,93,1.8
513,0,221,170,94,1.8
514,0,211,171,94,1.8
515,0,224,170,94,1.8
516,0,222,171,95,1.8
517,0,225,170,95,1.8
518,0,225,171,94,1.8
519,0,221,171,94,1.8
520,0,215,170,93,1.8
521,0,183,171,93,1.8
522,0,221,171,93,1.8
523,0,212,171,93,1.8
524,0,214,171,93,1.8
