secs,km,power,hr,cad,alt
0,0,263,137,,1128
1,0.00528,261,137,,1128
2,0.01058,252,137,,1128
3,0.01582,252,138,,1128
4,0.021,240,138,,1128
5,0.02605,244,138,,1128.2
6,0.03121,249,138,,1128.6
7,0.03629,251,138,,1129.4
8,0.04133,251,138,,1129.8
9,0.04636,254,139,,1130.2
10,0.05143,279,139,,1130.4
11,0.05652,281,139,,1130.4
12,0.06153,298,139,,1130.6
13,0.06674,298,139,,1130.6
14,0.07205,303,139,,1130.6
15,0.07751,309,139,,1130.8
16,0.08293,315,139,,1131
17,0.08833,316,140,,1131.4
18,0.09371,310,140,,1131.6
19,0.09906,306,141,,1131.8
20,0.10447,292,141,,1131.8
21,0.10992,301,142,,1132.2
22,0.11538,305,143,,1132.4
23,0.12093,305,143,,1132.6
24,0.12663,273,144,,1133
25,0.13247,261,144,,1133
26,0.13836,228,145,,1133.2
27,0.14432,207,145,,1133.6
28,0.1502,198,145,,1134
29,0.1561,190,145,,1134.4
30,0.16202,201,146,,1134.6
31,0.16795,200,146,,1135
32,0.17383,198,146,,1135.2
33,0.1797,206,146,,1135.4
34,0.18565,216,145,,1135.4
35,0.19155,217,145,,1135.8
36,0.1974,228,145,,1136
37,0.20314,233,145,,1136
38,0.2088,242,146,,1136
39,0.2144,241,145,,1136.2
40,0.22,253,146,,1136.4
41,0.22554,255,145,,1136.4
42,0.23107,251,145,,1136.6
43,0.23659,244,145,,1136.8
44,0.24204,231,145,,1137
45,0.24742,220,146,,1137.2
46,0.25276,217,145,,1137.4
47,0.25814,229,145,,1137.8
48,0.26354,229,145,,1138
49,0.26889,250,145,,1138.4
50,0.27403,243,145,,1138.8
51,0.27911,251,145,,1139
52,0.28411,254,145,,1139.2
53,0.28903,254,145,,1139.4
54,0.29389,256,145,,1139.6
55,0.2987,264,145,,1139.8
56,0.30349,278,145,,1140
57,0.30823,270,144,,1140
58,0.31288,251,144,,1140.4
59,0.31745,249,145,,1140.6
60,0.32195,256,144,,1141
61,0.32634,255,145,,1141.4
62,0.33072,253,144,,1141.8
63,0.33511,251,145,,1142.2
64,0.33946,247,144,,1142.4
65,0.34383,247,145,,1142.8
66,0.3482,246,144,,1143
67,0.35234,238,145,,1143.2
68,0.35648,239,144,,1143.4
69,0.36061,242,145,,1143.8
70,0.36473,248,144,,1144
71,0.36882,251,145,,1144.2
72,0.37293,255,145,,1144.6
73,0.37707,249,145,,1144.6
74,0.38124,249,145,,1145
75,0.3855,252,145,,1145.2
76,0.38973,259,145,,1145.4
77,0.39393,259,145,,1145.8
78,0.39818,256,145,,1146
79,0.40239,253,145,,1146.2
80,0.40661,250,145,,1146.6
81,0.41093,250,145,,1146.8
82,0.41524,243,145,,1147.2
83,0.4196,243,144,,1147.2
84,0.42393,236,145,,1147.4
85,0.42832,239,145,,1147.8
86,0.43271,240,145,,1148
87,0.43712,240,145,,1148.2
88,0.44154,240,145,,1148.6
89,0.44595,238,145,,1148.8
90,0.45039,235,145,,1149
91,0.45479,238,145,,1149.4
92,0.45917,245,145,,1149.8
93,0.46355,251,145,,1150
94,0.46787,250,145,,1150.2
95,0.47217,262,145,,1150.4
96,0.47642,271,145,,1150.6
97,0.48069,276,146,,1150.6
98,0.48494,270,146,,1150.8
99,0.48915,267,145,,1151
100,0.49337,268,146,,1151.2
101,0.49759,273,145,,1151.8
102,0.50183,273,146,,1152.2
103,0.50607,274,146,,1152.4
104,0.51034,273,145,,1152.6
105,0.51468,269,146,,1153
106,0.51901,261,145,,1153.2
107,0.52343,261,146,,1153.4
108,0.52773,262,145,,1153.6
109,0.53204,259,145,,1153.8
110,0.53628,266,145,,1154
111,0.54054,265,145,,1154.4
112,0.54487,262,145,,1154.8
113,0.5492,264,145,,1155.2
114,0.55356,257,145,,1155.4
115,0.55789,255,146,,1155.4
116,0.56228,259,145,,1155.8
117,0.56666,259,146,,1156
118,0.57099,265,145,,1156.4
119,0.57539,244,146,,1156.6
120,0.57978,243,146,,1156.8
121,0.58422,247,146,,1157.2
122,0.58871,253,146,,1157.4
123,0.59324,254,146,,1157.6
124,0.59785,250,146,,1157.6
125,0.60252,253,146,,1157.8
126,0.60718,258,146,,1158.2
127,0.61184,250,146,,1158.6
128,0.61656,243,146,,1159.2
129,0.62138,196,146,,1159.4
130,0.62626,215,146,,1159.6
131,0.63127,236,146,,1159.8
132,0.63646,189,146,,1160
133,0.64176,197,145,,1160
134,0.6472,210,145,,1160.2
135,0.65286,212,145,,1160.2
136,0.65865,216,145,,1160.4
137,0.66462,217,145,,1160.6
138,0.6707,212,144,,1160.6
139,0.6769,209,144,,1160.8
140,0.68313,210,144,,1160.8
141,0.68942,203,144,,1160.8
142,0.69576,200,145,,1160.8
143,0.70212,200,144,,1161
144,0.70853,202,144,,1161
145,0.71502,203,144,,1161
146,0.72165,203,144,,1160.8
147,0.72826,206,144,,1160.8
148,0.73497,200,144,,1161
149,0.74182,208,144,,1161
150,0.74869,178,143,,1161
151,0.75555,193,143,,1161.2
152,0.7624,190,143,,1161
153,0.76928,201,142,,1161.2
154,0.77623,203,142,,1161.2
155,0.78315,215,142,,1161.4
156,0.79009,217,142,,1161.4
157,0.79701,204,142,,1161.6
158,0.80391,206,142,,1161.6
159,0.81078,201,142,,1161.8
160,0.81766,204,142,,1162
161,0.8246,207,142,,1162
162,0.83159,202,143,,1162
163,0.83858,206,143,,1162
164,0.84555,211,143,,1162.2
165,0.85238,210,144,,1162.4
166,0.85918,203,144,,1162.6
167,0.866,203,144,,1162.8
168,0.87291,208,144,,1162.8
169,0.87985,216,144,,1162.8
170,0.88679,211,144,,1163
171,0.89374,219,145,,1163.2
172,0.90071,212,144,,1163.2
173,0.90776,229,145,,1163.2
174,0.91491,252,144,,1163.2
175,0.92216,233,144,,1163.4
176,0.92943,204,144,,1163.6
177,0.93681,191,143,,1163.8
178,0.94415,198,143,,1163.8
179,0.9515,203,143,,1164
180,0.95885,197,143,,1164.2
181,0.96614,196,143,,1164.2
182,0.97328,207,143,,1164.2
183,0.98033,216,143,,1164.4
184,0.98737,224,143,,1164.4
185,0.99436,234,143,,1164.4
186,1.00129,238,143,,1164.4
187,1.0081,242,142,,1164.6
188,1.01477,254,142,,1164.6
189,1.02131,252,142,,1164.6
190,1.02769,239,143,,1164.4
191,1.03397,239,143,,1164.4
192,1.04004,242,143,,1164.6
193,1.04604,252,143,,1165
194,1.0519,272,143,,1165.2
195,1.05761,280,143,,1165.6
196,1.06318,282,143,,1165.8
197,1.06868,279,143,,1166
198,1.07414,271,143,,1166
199,1.07955,267,144,,1166.2
200,1.08495,269,144,,1166.4
201,1.09035,256,144,,1166.8
202,1.09571,259,144,,1167
203,1.1011,251,144,,1167.2
204,1.10647,251,145,,1167.6
205,1.11189,247,145,,1167.8
206,1.1173,245,145,,1168.2
207,1.12266,259,146,,1168.4
208,1.12798,264,146,,1168.6
209,1.13322,266,147,,1169
210,1.13835,274,147,,1169.6
211,1.14341,281,147,,1170
212,1.14851,288,148,,1170.2
213,1.15349,288,148,,1170.4
214,1.15856,293,147,,1170.4
215,1.1636,299,147,,1170.8
216,1.16852,304,147,,1171
217,1.17339,308,147,,1171.2
218,1.17825,300,147,,1171.4
219,1.18316,287,147,,1171.6
220,1.18805,281,147,,1171.8
221,1.19296,264,146,,1172.2
222,1.1979,252,146,,1172.4
223,1.2028,249,147,,1172.6
224,1.20774,245,147,,1172.8
225,1.21269,239,147,,1173
226,1.21762,237,147,,1173.2
227,1.22262,237,147,,1173.2
228,1.22769,241,147,,1173.4
229,1.23274,241,147,,1173.8
230,1.23776,232,147,,1174
231,1.24272,241,147,,1174.2
